Title,Year,Duration,Censor,Rating,Vote Count,Genre
The Unholy Trinity,2024,1h 35m,R,5.5,1.5,Adventure
Twisters,2024,2h 2m,PG-13,6.5,177.0,Adventure
Gladiator II,2024,2h 28m,R,6.5,259.0,Adventure
Kraven the Hunter,2024,2h 7m,R,5.5,65.0,Adventure
Dune: Part Two,2024,2h 46m,PG-13,8.5,648.0,Adventure
Deadpool & Wolverine,2024,2h 8m,R,7.5,512.0,Adventure
The Wild Robot,2024,1h 42m,PG,8.2,186.0,Adventure
Furiosa: A Mad Max Saga,2024,2h 28m,R,7.5,294.0,Adventure
Flow,2024,1h 25m,PG,7.9,87.0,Adventure
Sonic the Hedgehog 3,2024,1h 50m,PG,6.9,67.0,Adventure
Monster Summer,2024,1h 37m,PG-13,5.7,4.7,Adventure
Moana 2,2024,1h 40m,PG,6.5,111.0,Adventure
Venom: The Last Dance,2024,1h 50m,PG-13,6.0,133.0,Adventure
The Count of Monte-Cristo,2024,2h 58m,,7.6,38.0,Adventure
Mufasa: The Lion King,2024,1h 58m,PG,6.6,72.0,Adventure
Freaky Tales,2024,1h 47m,R,6.2,7.8,Adventure
Godzilla x Kong: The New Empire,2024,1h 55m,PG-13,6.0,125.0,Adventure
Inside Out 2,2024,1h 36m,PG,7.5,225.0,Adventure
The Return,2024,1h 56m,R,6.2,11.0,Adventure
Transformers One,2024,1h 44m,PG,7.6,55.0,Adventure
Ghostbusters: Frozen Empire,2024,1h 55m,PG-13,6.1,96.0,Adventure
Borderlands,2024,1h 41m,PG-13,4.7,51.0,Adventure
Despicable Me 4,2024,1h 34m,PG,6.2,69.0,Adventure
Sketch,2024,1h 32m,PG,8.1,93.0,Adventure
Paddington in Peru,2024,1h 46m,PG,6.7,27.0,Adventure
Bad Boys: Ride or Die,2024,1h 55m,R,6.5,103.0,Adventure
Kingdom of the Planet of the Apes,2024,2h 25m,PG-13,6.8,156.0,Adventure
Damsel,2024,1h 50m,PG-13,6.1,112.0,Adventure
Red One,2024,2h 3m,PG-13,6.3,143.0,Adventure
Kung Fu Panda 4,2024,1h 34m,PG,6.3,71.0,Adventure
Survive,2024,1h 30m,,4.6,3.3,Adventure
The Lord of the Rings: The War of the Rohirrim,2024,2h 14m,PG-13,6.3,34.0,Adventure
The Garfield Movie,2024,1h 41m,PG,5.7,25.0,Adventure
The Day the Earth Blew Up: A Looney Tunes Movie,2024,1h 31m,PG,6.9,6.4,Adventure
Spaceman,2024,1h 47m,R,5.7,44.0,Adventure
Kalki 2898 AD,2024,3h,Not Rated,7.0,69.0,Adventure
Attack on Titan the Movie: The Last Attack,2024,2h 25m,,9.1,18.0,Adventure
Solo Leveling: ReAwakening,2024,2h 1m,R,8.8,14.0,Adventure
Descendants: The Rise of Red,2024,1h 31m,TV-G,4.7,7.4,Adventure
Arthur the King,2024,1h 47m,PG-13,7.0,35.0,Adventure
Uglies,2024,1h 40m,PG-13,4.7,34.0,Adventure
Atlas,2024,1h 58m,PG-13,5.6,57.0,Adventure
Rebel Moon - Part Two: The Scargiver,2024,2h 2m,PG-13,5.3,60.0,Adventure
Wallace & Gromit: Vengeance Most Fowl,2024,1h 22m,PG,7.5,37.0,Adventure
Manjummel Boys,2024,2h 15m,,8.2,29.0,Adventure
Spellbound,2024,1h 49m,PG,5.5,8.0,Adventure
Harold and the Purple Crayon,2024,1h 30m,PG,5.7,9.0,Adventure
Justice League: Crisis on Infinite Earths - Part One,2024,1h 33m,PG-13,6.2,8.9,Adventure
Sasquatch Sunset,2024,1h 28m,R,5.4,5.7,Adventure
Justice League: Crisis on Infinite Earths - Part Three,2024,1h 34m,PG-13,6.0,4.9,Adventure
The Ministry of Ungentlemanly Warfare,2024,2h 2m,R,6.8,140.0,Action
William Tell,2024,2h 14m,R,5.7,3.5,Action
Carry-On,2024,1h 59m,PG-13,6.5,174.0,Action
The Fall Guy,2024,2h 6m,PG-13,6.8,229.0,Action
Civil War,2024,1h 49m,R,7.0,245.0,Action
The Beekeeper,2024,1h 45m,R,6.3,164.0,Action
Road House,2024,2h 1m,R,6.2,171.0,Action
Acres,2024,1h 53m,R,7.1,791.0,Action
Fight or Flight,2024,1h 42m,R,6.4,16.0,Action
Elevation,2024,1h 31m,R,5.6,25.0,Action
Rebel Ridge,2024,2h 11m,TV-MA,6.8,92.0,Action
Argylle,2024,2h 19m,PG-13,5.6,95.0,Action
Abigail,2024,1h 49m,R,6.5,101.0,Action
Madame Web,2024,1h 56m,PG-13,4.1,104.0,Action
Land of Bad,2024,1h 53m,R,6.6,54.0,Action
The Instigators,2024,1h 41m,R,6.2,39.0,Action
The Crow,2024,1h 51m,R,4.7,37.0,Action
Relay,2024,1h 52m,R,7.3,146.0,Action
Maharaja,2024,2h 21m,,8.4,71.0,Action
The Union,2024,1h 47m,PG-13,5.4,55.0,Action
The Killer,2024,2h 6m,R,5.7,14.0,Action
Monkey Man,2024,2h 1m,R,6.8,94.0,Action
Canary Black,2024,1h 41m,R,5.4,12.0,Action
Drive-Away Dolls,2024,1h 24m,R,5.4,25.0,Action
Absolution,2024,1h 52m,R,5.2,9.2,Action
Homestead,2024,1h 52m,PG-13,5.2,4.3,Action
Dirty Angels,2024,1h 44m,R,4.4,4.3,Action
Jackpot!,2024,1h 46m,R,5.8,32.0,Action
The Silent Hour,2024,1h 39m,R,6.1,8.5,Action
